PlayerID,PlayerName
6194,Khalid Boulahrouz
6257,Boy Waterman
6259,Ryan Babel
6263,Thomas Vermaelen
6330,Manuel Fernandes
6337,Philipp Lahm
6344,Aleksandr Hleb
6408,Per Mertesacker
6526,Lukas Podolski
6693,Goran Pandev
6772,Diego Milito
7056,Javier Mascherano
7072,Maicon
7084,Felipe Melo
7174,Brad Jones
7225,Joleon Lescott
7255,Maxi Rodríguez
7303,Gabi
7312,Dani Alves
7318,Julio Baptista
7327,Jesús Navas
7329,Sergio Ramos
7444,David Villa
7474,Nenê
7511,Lionel Messi
7814,Dante
7834,E. Adebayor
7878,J. Briand
7889,Claudiu Keşerü
7941,Scott Carson
7946,Steven Davis
7959,Cesc Fàbregas
7973,José Antonio Reyes
8408,Aiden McGeady
8421,K. Huntelaar
8574,Hugo Lloris
8639,Gerard Piqué
8662,Benoît Costil
8707,Bafétimbi Gomis
8771,Marco Storari
8820,Raul Meireles
8822,Giuseppe Rossi
8823,Paolo Guerrero
8843,Jonathan Pitroipa
8846,A. Dejagah
8851,G. Chiellini
8898,Gerson Magrão
8940,H. Ben Arfa
8944,Karim Benzema
8959,Daniele Padelli
8978,S. Handanovič
8984,Asamoah Gyan
9000,Graziano Pellè
9034,Vágner Love
9042,Kasper Schmeichel
9060,Bruno Alves
9117,Alex Song
9121,Jean-Louis Leca
9129,Franck Ribéry
9133,Pepe
9138,João Moutinho
9167,Remko Pasveer
9169,K. El Ahmadi
9182,Jérémy Ménez
9193,Filipe Luís
9226,Pichu Cuéllar
9242,Raúl García
9248,Andrea Consigli
9308,Diego López
9317,Arda Turan
9341,Mario Gómez
9375,Santi Cazorla
9385,Sebastián Viera
9534,Craig Gordon
9567,Claudio Bravo
9612,Jorge Valdivia
10045,Cui Wei
10413,Yu Dabao
10585,Huang Bowen
11055,Keisuke Honda
11078,Toshihiro Aoyama
11090,Ryang Yong-Gi
12376,Shin Hyung-Min
12379,Park Chu-Young
12663,Jung Sung-Ryong
12674,Koo Ja Cheol
15003,Shinzo Koroki
15033,Hiroki Iikura
15038,Hulk
15050,Shinji Okazaki
15061,Naoki Hatta
15075,Akihiro Ienaga
15083,Kenta Tanno
15097,S. Nishikawa
15159,Hisashi Jogo
15162,H. Nakabayashi
15217,Shuichi Gonda
15224,Atomu Tanaka
15261,Masato Morishige
15271,Junki Koike
15274,Daigo Nishi
15296,Yohei Takeda
15313,Yota Hashiuchi
15320,Shinji Kagawa
15321,Tatsuya Yamashita
15323,Yoichiro Kakitani
15327,Yuji Rokutan
15356,Kosuke Ota
15433,Maya Yoshida
15444,Eltinho
15446,Takashi Inui
15476,Kosei Shibasaki
15502,Kosuke Yamamoto
15527,Shu Kurata
15533,Keisuke Shimizu
15552,Masatoshi Mihara
15783,Koki Otani
15791,Kota Mizunuma
15794,Manabu Saito
15801,Genki Omae
15806,Yuki Otsu
15808,Hiroki Sakai
15813,Ryotaro Hironaga
15814,Yuto Nagatomo
15827,Hiroki Miyazawa
15871,Shohei Takahashi
15875,Takuya Aoki
15882,Kazunari Ohno
15884,Michael James
15893,Hiroshi Kiyotake
15900,Yutaka Yoshida
15957,Takumi Miyayoshi
15958,Kazuya Yamamura
15965,Riku Morioka
15971,Kim Young-Gwon
15977,Júnior Dutra
15992,Park Gi-Dong
16011,Tsuyoshi Kodama
16020,Yu Kobayashi
16023,Shota Kobayashi
16035,Yoshifumi Kashiwa
16047,Oh Seung-Hoon
16053,Naoyuki Fujita
16054,Kim Min-Woo
16075,Takuya Okamoto
16076,Tomoya Ugajin
16093,Akimi Barada
16094,Goro Kawanami
16095,Ryosuke Yamanaka
16100,Takahiro Ohgihara
16108,Kim Bo-Kyung
16114,Yoshiaki Takagi
16137,Shahab Gordan
16161,A. Al Dawsari
16171,Ali Khaseif
16181,Hamdan Al Kamali
16182,Adel Al Hosani
16185,M. Abdulrahman
16286,Keijiro Ogawa
16303,Yuki Kobayashi
16342,Hiroaki Okuno
16343,Yuki Muto
16345,Gen Shoji
16346,Gaku Shibasaki
16348,Shoma Doi
16361,Yuki Saneto
16362,Akito Fukumori
16364,Ryota Oshima
16370,Eijiro Takeda
16372,Kentaro Moriya
16375,Yuto Suzuki
16379,Yuki Horigome
16387,Noriyoshi Sakai
16393,Hiroki Yamada
16401,Hiroki Fujiharu
16402,Kotaro Omori
16409,Kenyu Sugimoto
16422,Shunta Awaka
16424,Tatsuki Nara
16426,Takuma Arano
16431,Tsukasa Shiotani
16452,Haruya Ide
16453,Kento Hashimoto
16456,Shota Arai
16464,Ryota Kajikawa
16472,Kosuke Onose
16474,Wataru Endo
16476,Ryota Nagaki
16477,Ken Iwao
16491,Daichi Sugimoto
16496,Yuji Takahashi
16497,Jung Woo-Young
16499,Yoshiaki Komai
16500,Riki Harakawa
16501,Yuya Kubo
16513,Douglas Matos
16530,Hayato Nakama
16536,Ken Matsubara
16538,Hirotaka Tameda
16541,N. Kamifukumoto
16546,Jang Hyun-Soo
16551,Lee Kwang-Seon
16555,Heberty
16572,Yuichi Maruyama
16576,Kim Jin-Su
16577,Musashi Suzuki
16578,Sho Sasaki
16583,Hiroyuki Abe
16587,Daiki Watari
16595,Hwang Seok-ho
16597,Kazuki Oiwa
16599,Baek Sung-Dong
16601,Nagisa Sakurauchi
16610,Shuhei Matsubara
16644,Masashi Kamekawa
16650,Tomoya Inukai
