PlayerID,PlayerName
2405,K. Rummenigge
2429,Socrates
2430,Zico
2453,Diego Maradona
2489,Eiji Kawashima
2506,Pepe Reina
2511,Kakhaber Kaladze
2520,A. D'Alessandro
2530,Daniel Van Buyten
2533,Marco Materazzi
2560,John Terry
2579,Gabriel Heinze
2586,Z. Ibrahimović
2674,Miroslav Klose
2761,Christian Vieri
2808,Franco Baresi
2810,Giuseppe Bergomi
2827,Bryan Robson
2828,Gary Lineker
2829,Kevin Keegan
2840,Kenny Dalglish
2841,Denis Law
2843,Ian Rush
2920,Santiago Solari
2921,Kily González
2957,Paolo Di Canio
3050,Fabio Grosso
3191,Petr Čech
3214,Eric Abidal
3222,M. Stekelenburg
3239,Bebeto
3305,Makoto Hasebe
3316,Masahiro Okamoto
3497,Diego Forlán
3522,Jermain Defoe
3577,Johnny Heitinga
3579,Steven Pienaar
3582,Robin Van Persie
3603,Daniele De Rossi
3613,Alou Diarra
3649,Savo Milosevic
3681,Esteban Cambiasso
3682,Martín Demichelis
3712,Carlos Tévez
3741,Joaquín
3758,Kaka
3806,Djibril Cissé
3958,Mauro Camoranesi
3997,Arjen Robben
4013,Patrice Evra
4039,Fábio Maciel
4071,Thiago Motta
4072,Victor Valdes
4073,Andres Iniesta
4152,Wayne Rooney
4193,Fabricio Coloccini
4208,Fernando Torres
4251,Xabi Alonso
4261,Philippe Mexès
4280,Hakan Sükür
4347,Luca Toni
4414,Sulley Muntari
4494,Tiago
4498,Ricardo Carvalho
4502,Deco
4522,Cristiano Ronaldo
4526,Ricardo Quaresma
4564,Eusébio
4569,Roger Milla
4582,Mané Garrincha
4590,Lev Yashin
4598,Antonio Di Natale
4601,Michael Laudrup
4614,George Best
4637,Sérgio Conceição
4872,Robert Huth
4882,James Milner
4884,Glen Johnson
4918,Wesley Sneijder
4934,Bastian Schweinsteiger
5029,Nemanja Vidic
5106,Jefferson Farfán
5226,Yuki Nakashima
5308,Takanori Sugeno
5408,Gaël Clichy
5518,Raúl Albiol
5537,Andrea Barzagli
5558,Didier Drogba
5577,Michael Essien
5578,Florent Malouda
5584,Niki Mäenpää
5717,José Bosingwa
5770,Vincent Kompany
5778,Igor Akinfeev
5786,Andrey Arshavin
6194,Khalid Boulahrouz
6263,Thomas Vermaelen
6337,Philipp Lahm
6344,Aleksandr Hleb
6408,Per Mertesacker
6526,Lukas Podolski
6693,Goran Pandev
6772,Diego Milito
7056,Javier Mascherano
7072,Maicon
7084,Felipe Melo
7225,Joleon Lescott
7255,Maxi Rodríguez
7303,Gabi
7312,Dani Alves
7318,Julio Baptista
7327,Jesús Navas
7329,Sergio Ramos
7444,David Villa
7474,Nenê
7511,Lionel Messi
7814,Dante
7834,E. Adebayor
7941,Scott Carson
7959,Cesc Fàbregas
7973,José Antonio Reyes
8421,K. Huntelaar
8574,Hugo Lloris
8639,Gerard Piqué
8707,Bafétimbi Gomis
8771,Marco Storari
8820,Raul Meireles
8823,Paolo Guerrero
8843,Jonathan Pitroipa
8851,Giorgio Chiellini
8944,Karim Benzema
8959,Daniele Padelli
8978,Samir Handanovič
8984,Asamoah Gyan
9034,Vágner Love
9042,Kasper Schmeichel
9060,Bruno Alves
9129,Franck Ribéry
9133,Pepe
9138,João Moutinho
9167,Remko Pasveer
9193,Filipe Luís
9226,Pichu Cuéllar
9242,Raúl García
9248,Andrea Consigli
9308,Diego López
9317,Arda Turan
9341,Mario Gómez
9375,Santi Cazorla
9534,Craig Gordon
9567,Claudio Bravo
10413,Yu Dabao
11055,Keisuke Honda
11078,Toshihiro Aoyama
11090,Ryang Yong-Gi
12379,Park Chu-Young
12663,Jung Sung-Ryong
12674,Koo Ja-Cheol
15003,Shinzo Koroki
15033,Hiroki Iikura
15038,Hulk
15075,Akihiro Ienaga
15097,Shusaku Nishikawa
15159,Hisashi Jogo
15224,Atomu Tanaka
15261,Masato Morishige
15296,Yohei Takeda
15320,Shinji Kagawa
15321,Tatsuya Yamashita
15433,Maya Yoshida
15527,Shu Kurata
15533,Keisuke Shimizu
15791,Kota Mizunuma
15814,Yuto Nagatomo
15827,Hiroki Miyazawa
15882,Kazunari Ohno
15884,Michael James
15893,Hiroshi Kiyotake
15957,Takumi Miyayoshi
15958,Kazuya Yamamura
15965,Ryota Morioka
15971,Kim Young-Gwon
16011,Tsuyoshi Kodama
16020,Yu Kobayashi
16022,Han Kook-Young
16035,Yoshifumi Kashiwa
16053,Naoyuki Fujita
16054,Kim Min-Woo
16075,Takuya Okamoto
16076,Tomoya Ugajin
16093,Akimi Barada
16094,Goro Kawanami
16095,Ryosuke Yamanaka
16100,Takahiro Ohgihara
16114,Yoshiaki Takagi
16171,Ali Khaseif
16181,Hamdan Al Kamali
16182,Adel Al Hosani
16185,M. Abdulrahman
16303,Yuki Kobayashi
16342,Hiroaki Okuno
16345,Gen Shoji
16346,Gaku Shibasaki
16359,Kwon Han-Jin
16364,Ryota Oshima
16372,Kentaro Moriya
16375,Yuto Suzuki
16379,Yuki Horigome
16387,Noriyoshi Sakai
16393,Hiroki Yamada
16422,Shunta Awaka
16424,Tatsuki Nara
16426,Takuma Arano
16431,Tsukasa Shiotani
16452,Haruya Ide
16453,Kento Hashimoto
16456,Shota Arai
16472,Kosuke Onose
16474,Wataru Endo
16491,Daichi Sugimoto
16497,Jung Woo-Young
16499,Yoshiaki Komai
16500,Riki Harakawa
16501,Yuya Kubo
